displacement/m,displacement/mm,force/kN,force/N
3.0488624842486963e-05,0.03048862484248696,0.17274941632043025,172.74941632043024
3.080061363005226e-05,0.030800613630052258,0.17461539005997956,174.61539005997955
3.111260241761755e-05,0.03111260241761755,0.17648136379952883,176.48136379952882
3.1424591205182855e-05,0.03142459120518285,0.17834733753907814,178.34733753907813
3.173657999274814e-05,0.03173657999274814,0.1802133112786274,180.2133112786274
3.204856878031344e-05,0.03204856878031344,0.1820792850181766,182.07928501817662
3.236055756787874e-05,0.032360557567878735,0.1839452587577259,183.94525875772592
3.267254635544403e-05,0.03267254635544403,0.1858112324972752,185.81123249727523
3.298453514300932e-05,0.03298453514300932,0.18767720623682443,187.67720623682445
3.329652393057462e-05,0.03329652393057462,0.18954317997637374,189.54317997637375
3.360851271813992e-05,0.033608512718139916,0.191409153715923,191.40915371592303
