displacement/m,displacement/mm,force/kN,force/N
0.0006674009787812702,0.6674009787812701,9.146305113076016,9146.305113076016
0.000667559332433498,0.667559332433498,9.147874125346497,9147.874125346498
0.000667717686085726,0.6677176860857259,9.150137357755286,9150.137357755286
0.0006678760397379537,0.6678760397379537,9.151713028511868,9151.713028511867
0.0006680343933901816,0.6680343933901817,9.154093375894615,9154.093375894614
0.0006681927470424094,0.6681927470424095,9.155944510371313,9155.944510371313
0.0006683511006946374,0.6683511006946374,9.15732682734732,9157.32682734732
0.0006685094543468652,0.6685094543468653,9.159192762388107,9159.192762388107
0.0006686678079990932,0.6686678079990932,9.161239347986442,9161.239347986442
0.000668826161651321,0.668826161651321,9.163910388588599,9163.9103885886
0.0006689845153035489,0.668984515303549,9.165464506339367,9165.464506339367
0.0006691428689557769,0.6691428689557769,9.168086003046616,9168.086003046616
0.0006693012226080047,0.6693012226080047,9.168828175683647,9168.828175683646
0.0006694595762602326,0.6694595762602327,9.170835381326318,9170.835381326318
0.0006696179299124605,0.6696179299124605,9.17327456949272,9173.27456949272
0.0006697762835646884,0.6697762835646884,9.17464718540178,9174.64718540178
0.0006699346372169162,0.6699346372169163,9.176414606236861,9176.414606236862
0.0006700929908691442,0.6700929908691442,9.179077380005054,9179.077380005054
0.000670251344521372,0.670251344521372,9.180906911080589,9180.906911080589
0.0006704096981735999,0.6704096981736,9.18189906629984,9181.89906629984
0.0006705680518258278,0.6705680518258278,9.184947307449374,9184.947307449374
0.0006707264054780557,0.6707264054780557,9.186379518028033,9186.379518028034
0.0006708847591302835,0.6708847591302836,9.188058090102947,9188.058090102948
0.0006710431127825115,0.6710431127825115,9.189254197158954,9189.254197158954
0.0006712014664347393,0.6712014664347393,9.191935096716724,9191.935096716725
0.0006713598200869673,0.6713598200869673,9.193822607957191,9193.82260795719
0.0006715181737391951,0.6715181737391951,9.19574816784553,9195.74816784553
0.000671676527391423,0.671676527391423,9.19772982656535,9197.72982656535
0.0006718348810436509,0.6718348810436509,9.199344187783229,9199.344187783228
0.0006719932346958788,0.6719932346958788,9.201356267095848,9201.356267095849
0.0006721515883481066,0.6721515883481066,9.20343186662755,9203.43186662755
0.0006723099420003346,0.6723099420003346,9.205222075285333,9205.222075285332
0.0006724682956525624,0.6724682956525624,9.207683771144218,9207.683771144219
0.0006726266493047903,0.6726266493047903,9.20928212326739,9209.282123267389
0.0006727850029570182,0.6727850029570182,9.211482924238897,9211.482924238897
0.0006729433566092461,0.6729433566092461,9.21316143325831,9213.16143325831
0.0006731017102614739,0.6731017102614739,9.21498659236654,9214.98659236654
0.0006732600639137019,0.6732600639137019,9.216403406253308,9216.403406253308
0.0006734184175659297,0.6734184175659297,9.218986857383497,9218.986857383497
0.0006735767712181576,0.6735767712181576,9.22048510737243,9220.48510737243
0.0006737351248703855,0.6737351248703854,9.222179898389035,9222.179898389035
0.0006738934785226134,0.6738934785226134,9.223796671469863,9223.796671469863
0.0006740518321748412,0.6740518321748412,9.226020374747328,9226.020374747328
0.0006742101858270692,0.6742101858270692,9.227688568917788,9227.688568917789
0.000674368539479297,0.674368539479297,9.230003119648767,9230.003119648767
0.000674526893131525,0.6745268931315249,9.231779431707386,9231.779431707386
0.0006746852467837528,0.6746852467837527,9.23415058232593,9234.150582325929
0.0006748436004359807,0.6748436004359807,9.235821427406098,9235.821427406097
0.0006750019540882086,0.6750019540882085,9.237858680426747,9237.858680426747
0.0006751603077404365,0.6751603077404364,9.239619792732354,9239.619792732354
0.0006753186613926643,0.6753186613926643,9.240958327406007,9240.958327406008
0.0006754770150448923,0.6754770150448922,9.243005149943025,9243.005149943025
0.0006756353686971201,0.67563536869712,9.245378713437852,9245.37871343785
0.000675793722349348,0.675793722349348,9.247099192774336,9247.099192774336
0.0006759520760015758,0.6759520760015758,9.248401770325637,9248.401770325638
0.0006761104296538037,0.6761104296538037,9.250318111149971,9250.31811114997
0.0006762687833060315,0.6762687833060316,9.252172772349665,9252.172772349664
0.0006764271369582595,0.6764271369582595,9.254017941682473,9254.017941682474
0.0006765854906104873,0.6765854906104873,9.255445530645888,9255.445530645888
0.0006767438442627152,0.6767438442627153,9.258451964931913,9258.451964931914
0.0006769021979149431,0.6769021979149431,9.259907853881508,9259.907853881508
0.000677060551567171,0.677060551567171,9.261514085606011,9261.514085606012
0.0006772189052193988,0.6772189052193989,9.263359884632761,9263.35988463276
0.0006773772588716268,0.6773772588716268,9.26585693866094,9265.85693866094
0.0006775356125238546,0.6775356125238546,9.267593292177231,9267.593292177231
0.0006776939661760825,0.6776939661760826,9.269214837041693,9269.214837041693
0.0006778523198283104,0.6778523198283104,9.272084540158767,9272.084540158767
